sample_id,smiles
84,CC1=CC(N(CCCCC(CCCCCCCC)CCCCCCCCCC)C(/C2=C3C(C=CC(C4=CC=C(C5=CC=C(C)S5)S4)=C6)=C6N(CCCCC(CCCCCCCCCC)CCCCCCCC)C\3=O)=O)=C2C=C1
85,CC1=CN=C(C2=C3C(C(N2CC(CCCCCCCC)CCCCCC)=O)=C(C4=CC=C(C5=CC=C(C)S5)C=N4)N(CC(CCCCCC)CCCCCCCC)C3=O)C=C1
86,CC1=C(CCCCCCCCCC)C=C(C(S2)=CC3=C2SC(C4=CC(CCCCCCCCCC)=C(C)S4)=C3)S1
87,O=C1C2=C3C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=CC(C4=CC=C5C(SC6=C(C=CC(C)=C6)N5CCCCCC)=C4)=C7C3=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C=C2C
88,O=C1C(C2=C(C3=CC4=C(S3)C=C(C)S4)C1CC(CCCCCCCCCC)CCCCCCCC)=C(C5=CC(SC(C)=C6)=C6S5)C(CC(CCCCCCCC)CCCCCCCCCC)C2=O
89,CC(CCCCCCCCCCCC)CCCCCCCCCC)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(C6=CC=C(C)S6)=C1C5=O
90,CC1=CC(CCCCCCCCCCCCCC)=C(C2=CC(SC(C3=C(CCCCCCCCCCCCCC)C=C(C)S3)=C4)=C4S2)S1
91,CC1=CN=C(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC6=C(C=C(C=C(C)S7)C7=C6)S5)S4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)S1
92,CC1=CC=C(C2=C3C=C(C4=CC=C(C5=CC=C(C)[Se]5)[Se]4)C=C2)C(C3(CCCCCCCC)CCCCCCCC)=C1
93,CC1=CC([Ge](CC(CCCCCCCCCC)CCCCCCCC)(CC(CCCCCCCCCC)CCCCCCCC)C2=C3SC(C4=CC=C(C5=C(C#N)C(C#N)=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3S1
94,CC1=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C2=CC3=C(C=C(C4=C(CC(CCCCCCCCCC)CCCCCCCC)C=C(C5=C(N=S=N6)C6=C(C)C7=NSN=C75)S4)S3)S2)S1
95,O=C(N1CCCC(CCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CCCCCCCCCCCC)C4=C/3C=C5C(/C(C(N5CCCCCCCCCCCC)=O)=C6C(N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C7=C\6C=CC(C8=CC=C(/C=C/C9=CC=C(C)S9)S8)=C7)=O)=C4)=O
96,CC1=CC(CCCCCCCCCCCC)=C(C2=CC3=C(C(SC(C4=C(CCCCCCCCCCCC)C=C(C)S4)=C5)=C5S3)S2)S1
